sampleA,sampleB,baseMeanA,baseMeanB,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SoffiXsponR570.08Cg002500.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,37.855523352537,306.538990527496,172.197256940017,-3.0300713852828,0.372684679499373,-8.13038891041374,2.5590864170563e-08,0.000146231884729301
SoffiXsponR570.03Ag094400.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,16.2628035939588,140.09181254477,78.1773080693643,-3.10489937727592,0.507768047767247,-6.11479865842042,1.69613845393208e-05,0.0232610689090184
SoffiXsponR570.01Bg427200.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,15.5538963493533,133.315878214529,74.4348872819412,-3.11203079546169,0.514035310948315,-6.05411871359668,1.98922958911785e-05,0.0265719738465331
SoffiXsponR570.05Gg018900.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,17.6644736124542,153.65121615613,85.6578448842922,-3.11610387616145,0.427190808372294,-7.29440759279115,3.64389479244177e-07,0.00131017646420672
SoffiXsponR570.05Cg073800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,20.3862620136347,177.361067345826,98.8736646797301,-3.13712903453127,0.475921959511625,-6.59168792663085,3.55275704437172e-06,0.00761296621991453
SoffiXsponR570.1Z042800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,211.133848873498,1869.50741917492,1040.32063402421,-3.14610083868822,0.240947409079381,-13.057209665416,2.6233432388481e-19,2.6982659217496e-14
SoffiXsponR570.05Eg074700.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,11.7134496211742,108.571937742156,60.142693681665,-3.2048846996025,0.408636594574103,-7.84287247436261,3.41264902692118e-08,0.000175505714156502
SoffiXsponR570.05Bg037300.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,35.8210815603074,345.583726830799,190.702404195553,-3.26314981712325,0.408915825367974,-7.98000374328095,1.56047434431278e-08,0.000100315093224147
SoffiXsponR570.09Bg154000.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,334.177383478396,3293.73056550726,1813.95397449283,-3.2995754258081,0.311204799018408,-10.6025852950067,7.38200856923196e-14,1.89820968349231e-09
SoffiXsponR570.10Fg012100.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,24.8155439689835,271.132798589763,147.974171279373,-3.45830872818955,0.436904255507678,-7.91548419268893,9.18698013995779e-09,6.74954306625356e-05
SoffiXsponR570.05Gg145400.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,45.0187997522792,598.672579787671,321.845689769975,-3.72764700316766,0.393736051804961,-9.46737538023104,2.14015639404637e-12,3.66879876776722e-08
SoffiXsponR570.05Ag302000.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,4.5803870554179,59.9898908585489,32.2851389569834,-3.72813130252623,0.705699093386907,-5.28289087723433,5.53500585810832e-05,0.0495050923949208
SoffiXsponR570.05Gg029700.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,5.10033698684123,74.3199882852039,39.7101626360225,-3.82924103928822,0.722239084040633,-5.30190227018064,4.47695863025752e-05,0.0434417034786573
SoffiXsponR570.10Eg115500.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,14.6776301064644,214.60392938432,114.640779745392,-3.8680267383411,0.426422680217758,-9.07087478641108,8.73248853577561e-12,1.28312691547962e-07
SoffiXsponR570.05Gg091600.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,3.59990146635116,61.8148627636348,32.707382114993,-4.04856714033699,0.65667697418123,-6.16523389659717,1.72180027194033e-06,0.00411854625048127
SoffiXsponR570.06Cg122300.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,2.21507200654727,39.7033424568669,20.9592072317071,-4.15619149752583,0.787285418793821,-5.27914197101912,3.04940991288663e-05,0.0341569641787559
SoffiXsponR570.06Fg064800.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,2.35525085150904,44.3792987742797,23.3672748128944,-4.16415774288117,0.811428528853077,-5.1318848115521,4.81977814550187e-05,0.0459021389753463
SoffiXsponR570.05Cg134200.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,2.71509651109675,54.9729082763353,28.844002393716,-4.28902989969452,0.734607299617899,-5.83853427800872,3.78030902694936e-06,0.00793525439338579
SoffiXsponR570.03Ag007600.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,2.08245142442841,39.1459916473127,20.6142215358706,-4.31024604872713,0.833380440854303,-5.17200289019103,3.56253726001618e-05,0.0376046662839475
SoffiXsponR570.06Cg063100.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,2.01419268374339,40.6243439159211,21.3192682998323,-4.37961944505338,0.851136996962735,-5.14561047244094,3.58292884792998e-05,0.0376046662839475
SoffiXsponR570.02Ag045600.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,1.7612417300329,40.8704046823313,21.3158232061821,-4.43324684236422,0.798600072013867,-5.55127278061057,8.57537286867467e-06,0.0147272021865086
SoffiXsponR570.08Dg011600.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,1.64688074415699,41.0818722207398,21.3643764824484,-4.67120430227832,0.935544239353627,-4.99303411403151,4.35211659344558e-05,0.0426560622567409
SoffiXsponR570.08Bg088400.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,3.07850357740476,87.2457412265701,45.1621224019874,-4.78984926727369,0.663151967170093,-7.22285313834428,5.48832604882363e-09,4.70422720064836e-05
SoffiXsponR570.05Bg131100.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,0.235888588710587,26.5156695093017,13.3757790490061,-6.08059033752017,1.29444756990393,-4.69744042083641,4.34035728152581e-05,0.0426560622567409
SoffiXsponR570.8_5Ag184400.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,1.04010453819867,96.6654170320131,48.8527607851059,-6.32454566213726,0.938694127179048,-6.73760011809566,7.04504713146034e-09,5.57404129041142e-05
SoffiXsponR570.05Gg036400.v2.1,Stem_120h_Diatrea,Stem_120h_Diatrea+Fusarium,0.971746193291333,80.4093684487749,40.6905573210331,-6.38352020113153,1.04860758167523,-6.08761591341291,1.41847379690207e-07,0.000583594163416637
